시군구	번지	단지명	전월세구분	전용면적(㎡)	계약일	보증금(만원)	월세(만원)	층	건축년도	도로명	계약년도	계약월	거래종류
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.25	21~31	22,773	36	12	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.91	21~31	17,973	68	20	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	118.65	21~31	25,182	39	24	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	118.94	21~31	19,882	74	12	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.83	21~31	22,773	36	21	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	84.5	11~20	18,000	105	5	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.83	21~31	17,973	68	23	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.83	21~31	17,973	68	13	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.25	21~31	22,773	36	4	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	84.5	1~10	23,000	50	8	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	84.5	11~20	25,000	55	2	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.83	21~31	17,973	68	1	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.25	21~31	17,973	68	10	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.91	21~31	22,773	36	10	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	101.91	21~31	21,973	41	15	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	84.82	11~20	20,000	60	7	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	118.41	21~31	25,182	39	2	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	84.5	11~20	20,000	90	2	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	월세	118.65	21~31	19,882	39	8	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.82	1~10	39,000	0	6	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.5	1~10	34,000	0	10	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.82	21~31	32,000	0	7	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.5	21~31	28,000	0	15	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.5	1~10	35,000	0	5	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.5	11~20	36,000	0	3	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.5	21~31	35,000	0	9	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.61	11~20	35,000	0	3	2009	동판교로	2012년	01월	전월세
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	전세	84.5	1~10	35,000	0	9	2009	동판교로	2012년	01월	전월세
