시군구	번지	단지명	전용면적(㎡)	계약일	거래금액(만원)	층	건축년도	도로명	계약년도	계약월	거래종류
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	101.17	21~31	92000	9	2009	판교역로	2010년	01월	매매
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	117.67	21~31	105000	8	2009	판교역로	2010년	12월	매매
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	117.06	1~10	120000	7	2009	판교역로	2011년	02월	매매
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	117.67	11~20	124700	10	2009	판교역로	2011년	02월	매매
경기도 성남시 분당구 백현동	554	백현마을5단지(주공)	84.7	1~10	70000	16	2009	판교역로	2011년	05월	매매
경기도 성남시 분당구 백현동	554	백현마을5단지(주공)	84.7	1~10	75300	2	2009	판교역로	2011년	09월	매매
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	84.5	1~10	84500	12	2009	동판교로	2011년	10월	매매
경기도 성남시 분당구 백현동	556	백현마을7단지(주공)	84.61	11~20	77000	10	2009	판교역로	2011년	10월	매매
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	117.06	1~10	80000	3	2009	판교역로	2011년	11월	매매
경기도 성남시 분당구 백현동	542	판교푸르지오그랑블	139.73	11~20	89885	3	2011	동판교로	2011년	11월	매매
경기도 성남시 분당구 백현동	542	판교푸르지오그랑블	98.99	1~10	80000	12	2011	동판교로	2011년	12월	매매
경기도 성남시 분당구 백현동	542	판교푸르지오그랑블	98.99	21~31	96500	14	2011	동판교로	2011년	12월	매매
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	101.46	21~31	85000	9	2009	판교역로	2012년	01월	매매
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	84.82	1~10	70000	9	2009	동판교로	2012년	04월	매매
경기도 성남시 분당구 백현동	545	백현마을2단지(주공)일부임대	84.5	11~20	75000	11	2009	동판교로	2012년	05월	매매
경기도 성남시 분당구 백현동	556	백현마을7단지(주공)	84.61	1~10	62000	14	2009	판교역로	2012년	05월	매매
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	117.8	1~10	108000	4	2009	판교역로	2012년	05월	매매
경기도 성남시 분당구 백현동	542	판교푸르지오그랑블	117.52	21~31	110000	5	2011	동판교로	2012년	05월	매매
경기도 성남시 분당구 백현동	554	백현마을5단지(주공)	74.92	21~30	62000	11	2009	판교역로	2012년	06월	매매
경기도 성남시 분당구 백현동	554	백현마을5단지(주공)	84.98	21~30	79900	14	2009	판교역로	2012년	06월	매매
경기도 성남시 분당구 백현동	556	백현마을7단지(주공)	84.73	21~30	64500	3	2009	판교역로	2012년	06월	매매
경기도 성남시 분당구 백현동	525	백현마을9단지(e편한세상)	101.46	1~10	92500	10	2009	판교역로	2012년	06월	매매
경기도 성남시 분당구 백현동	542	판교푸르지오그랑블	98.99	1~10	102000	17	2011	동판교로	2012년	06월	매매
경기도 성남시 분당구 백현동	554	백현마을5단지(주공)	74.76	1~10	65000	15	2009	판교역로	2012년	07월	매매
